,School Name,City,Full Address,Zipcode,Phone Number,Distrct,MO Raniking,National Ranking,School page link (US News))
196,Bevier High,"Bevier, MO","400 Bloomington St, Bevier, Missouri 63532",63532,(660) 773-5213,Bevier C-4,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bevier-c-4/bevier-high-11509
197,Billings Sr. High,"Billings, MO","118 W Mt Vernon, Billings, Missouri 65610",65610,(417) 744-2551,Billings R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/billings-r-iv/billings-sr-high-11510
198,Bismarck R-V High,"Bismarck, MO","Indian Trails Dr, Bismarck, Missouri 63624",63624,(573) 734-6111,Bismarck R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bismarck-r-v/bismarck-r-v-high-11511
199,Bloomfield High,"Bloomfield, MO","505 Court St, Bloomfield, Missouri 63825",63825,(573) 568-2146,Bloomfield R-Xiv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bloomfield-r-xiv/bloomfield-high-11512
200,Bowling Green High,"Bowling Green, MO","700 West Adams Street, Bowling Green, Missouri 63334",63334,(573) 324-5341,Bowling Green R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bowling-green-r-i/bowling-green-high-11522
201,Bradleyville High,"Bradleyville, MO","16474 N State Hwy 125, Bradleyville, Missouri 65614",65614,(417) 796-2288,Bradleyville R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bradleyville-r-i/bradleyville-high-11523
202,Brookfield High,"Brookfield, MO","124 Pershing Rd, Brookfield, Missouri 64628",64628,(660) 258-7242,Brookfield R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/brookfield-r-iii/brookfield-high-11531
203,Butler High,"Butler, MO","420 S Fulton St, Butler, Missouri 64730",64730,(660) 679-6121,Butler R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/butler-r-v/butler-high-11538
204,California High,"California, MO","1501 W Buchanan St, California, Missouri 65018",65018,(573) 796-4911,Moniteau Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/moniteau-co-r-i/california-high-11542
205,Cassville High,"Cassville, MO","1501 Main St, Cassville, Missouri 65625",65625,(417) 847-3137,Cassville R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cassville-r-iv/cassville-high-11552
206,Chillicothe High,"Chillicothe, MO","2801 Hornet Rd, Chillicothe, Missouri 64601",64601,(660) 646-0700,Chillicothe R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/chillicothe-r-ii/chillicothe-high-11567
207,Clinton Sr. High,"Clinton, MO","1106 S 2nd Street, Clinton, Missouri 64735",64735,(660) 885-2247,Clinton,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/clinton/clinton-sr-high-11573
208,Cole Camp High,"Cole Camp, MO","500 Keeney St, Cole Camp, Missouri 65325",65325,(660) 668-3751,Cole Camp R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cole-camp-r-i/cole-camp-high-11574
209,Crane High,"Crane, MO","209 Pirate Ln, Crane, Missouri 65633",65633,(417) 723-5300,Crane R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crane-r-iii/crane-high-11582
210,Crocker High,"Crocker, MO","601 N Commercial, Crocker, Missouri 65452",65452,(573) 736-5000,Crocker R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crocker-r-ii/crocker-high-11584
211,Crystal City High,"Crystal City, MO","1100 Mississippi, Crystal City, Missouri 63019",63019,(636) 937-2005,Crystal City 47,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crystal-city-47/crystal-city-high-11585
212,Delasalle Charter School,"Kansas City, MO","3737 Troost Ave, Kansas City, Missouri 64109",64109,(816) 561-4445,Delasalle Charter School,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/delasalle-charter-school/delasalle-charter-school-92064
213,Desoto Sr. High,"Desoto, MO","815 Amvets Dr, Desoto, Missouri 63020",63020,(636) 586-1050,Desoto 73,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/desoto-73/desoto-sr-high-11588
214,Dixon High,"Dixon, MO","300 E. High School Dr, Dixon, Missouri 65459",65459,(573) 759-7163,Dixon R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/dixon-r-i/dixon-high-11594
215,Doniphan High,"Doniphan, MO","5 Ball Park Rd, Doniphan, Missouri 63935",63935,(573) 996-3667,Doniphan R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/doniphan-r-i/doniphan-high-11595
216,East Buchanan High,"Gower, MO","100 Smith St, Gower, Missouri 64454",64454,(816) 424-6460,East Buchanan Co. C-1,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/east-buchanan-co-c-1/east-buchanan-high-11600
217,East Carter Co. R-II High,"Ellsinore, MO","24 S Herren Ave, Ellsinore, Missouri 63937",63937,(573) 322-5653,East Carter Co. R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/east-carter-co-r-ii/east-carter-co-r-ii-high-11598
218,East High School,"Kansas City, MO","1924 Van Brunt Blvd, Kansas City, Missouri 64127",64127,(816) 418-3125,Kansas City 33,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/east-high-school-11701
219,Ellington High School,"Ellington, MO","1 School St, Ellington, Missouri 63638",63638,(573) 663-2291,Southern Reynolds Co. R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/southern-reynolds-co-r-ii/ellington-high-school-11916
220,Elsberry High,"Elsberry, MO","138 Tomahawk Dr, Elsberry, Missouri 63343",63343,(573) 898-5554,Elsberry R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/elsberry-r-ii/elsberry-high-11604
221,Eugene High,"Eugene, MO","14803 Hwy 17, Eugene, Missouri 65032",65032,(573) 498-4001,Cole Co. R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cole-co-r-v/eugene-high-11606
222,Exeter High,"Exeter, MO","101 Locust Street, Exeter, Missouri 65647",65647,(417) 835-3745,Exeter R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/exeter-r-vi/exeter-high-11609
223,Gallatin High,"Gallatin, MO","602 S Olive, Gallatin, Missouri 64640",64640,(660) 663-2171,Gallatin R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/gallatin-r-v/gallatin-high-11630
224,Glasgow High,"Glasgow, MO","860 Randolph, Glasgow, Missouri 65254",65254,(660) 338-2012,Glasgow,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/glasgow/glasgow-high-11634
225,Grand Center Arts Academy High,"St. Louis, MO","711 North Grand Avenue, St. Louis, Missouri 63103",63103,(314) 533-1791,Grand Center Arts Academy,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/grand-center-arts-academy/grand-center-arts-academy-high-154672
226,Harrisburg High,"Harrisburg, MO","801 S Harris, Harrisburg, Missouri 65256",65256,(573) 875-5602,Harrisburg R-Viii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/harrisburg-r-viii/harrisburg-high-11650
227,Harrisonville High,"Harrisonville, MO","1504 E Elm, Harrisonville, Missouri 64701",64701,(816) 380-3273,Harrisonville R-Ix,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/harrisonville-r-ix/harrisonville-high-11651
228,Hillcrest High,"Springfield, MO","3319 N Grant, Springfield, Missouri 65803",65803,(417) 523-8000,Springfield R-Xii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/hillcrest-high-11924
229,Hogan Preparatory Academy,"Kansas City, MO","1221 E Meyer Blvd, Kansas City, Missouri 64131",64131,(816) 444-3464,Hogan Preparatory Academy,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/hogan-preparatory-academy/hogan-preparatory-academy-11468
230,Holden High,"Holden, MO","1901 S Main, Holden, Missouri 64040",64040,(816) 732-5523,Holden R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/holden-r-iii/holden-high-11668
231,Houston High,"Houston, MO","423 W Pine, Houston, Missouri 65483",65483,(417) 967-3024,Houston R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/houston-r-i/houston-high-11670
232,King City High,"King City, MO","300 N Grand, King City, Missouri 64463",64463,(660) 535-4319,King City R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/king-city-r-i/king-city-high-11710
233,Kingsville High,"Kingsville, MO","101 E Adriatic, Kingsville, Missouri 64061",64061,(816) 597-3422,Kingsville R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kingsville-r-i/kingsville-high-11711
234,Lafayette Co. High,"Higginsville, MO","807a W 31st, Higginsville, Missouri 64037",64037,(660) 584-3661,Lafayette Co. C-1,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/lafayette-co-c-1/lafayette-co-high-11665
235,Licking High,"Licking, MO","125 College Avenue, Licking, Missouri 65542",65542,(573) 674-2711,Licking R-Viii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/licking-r-viii/licking-high-11737
236,Linn Co. High,"Purdin, MO","15533 Hwy Kk, Purdin, Missouri 64674",64674,(660) 244-5035,Linn Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/linn-co-r-i/linn-co-high-11532
237,Linn High,"Linn, MO","141 Wildcat Drive, Linn, Missouri 65051",65051,(573) 897-4216,Osage Co. R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/osage-co-r-ii/linn-high-11740
238,Logan-Rogersville High,"Rogersville, MO","4700 S State Highway 125, Rogersville, Missouri 65742",65742,(417) 753-2813,Logan-Rogersville R-Viii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/logan-rogersville-r-viii/logan-rogersville-high-11742
239,Louisiana High,"Louisiana, MO","3321 W Georgia St, Louisiana, Missouri 63353",63353,(573) 754-6181,Louisiana R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/louisiana-r-ii/louisiana-high-11744
240,Madison High,"Madison, MO","309 Thomas St, Madison, Missouri 65263",65263,(660) 291-4515,Madison C-3,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/madison-c-3/madison-high-11748
241,Marion C. Early High,"Morrisville, MO","5309 S Main, Morrisville, Missouri 65710",65710,(417) 376-2216,Marion C. Early R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/marion-c-early-r-v/marion-c-early-high-11754
242,Marshall Sr. High,"Marshall, MO","805 S Miami, Marshall, Missouri 65340",65340,(660) 886-2244,Marshall,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/marshall/marshall-sr-high-11758
243,Maysville Jr.-Sr. High,"Maysville, MO","601 W Main, Maysville, Missouri 64469",64469,(816) 449-2154,Maysville R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/maysville-r-i/maysville-jr-sr-high-11761
244,Meadville High,"Meadville, MO","101 W Crandall, Meadville, Missouri 64659",64659,(660) 938-4112,Meadville R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/meadville-r-iv/meadville-high-11763
245,Mercer High,"Mercer, MO","22931 Main St, Mercer, Missouri 64661",64661,(660) 382-4214,North Mercer Co. R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/north-mercer-co-r-iii/mercer-high-11767
246,Mexico High,"Mexico, MO","639 N Wade, Mexico, Missouri 65265",65265,(573) 581-4296,Mexico 59,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/mexico-59/mexico-high-11768
247,Midway High,"Cleveland, MO","5801 E State Rte 2, Cleveland, Missouri 64734",64734,(816) 250-2994,Midway R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/midway-r-i/midway-high-12004
248,Moberly Sr. High,"Moberly, MO","1625 Gratz Brown Rd, Moberly, Missouri 65270",65270,(660) 269-2660,Moberly,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/moberly/moberly-sr-high-11772
249,Monroe City R-I High,"Monroe City, MO","401 Hwys 24-36 East, Monroe City, Missouri 63456",63456,(573) 735-4626,Monroe City R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/monroe-city-r-i/monroe-city-r-i-high-11774
250,Mountain Grove High,"Mountain Grove, MO","420 N Main, Mountain Grove, Missouri 65711",65711,(417) 926-3177,Mountain Grove R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/mountain-grove-r-iii/mountain-grove-high-11779
251,Muriel W. Battle High School,"Columbia, MO","7575 St. Charles Road, Columbia, Missouri 65202",65202,(573) 214-3300,Columbia 93,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/columbia-93/muriel-w-battle-high-school-147496
252,New Bloomfield High,"New Bloomfield, MO","307 Redwood Dr, New Bloomfield, Missouri 65063",65063,(573) 491-3700,New Bloomfield R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/new-bloomfield-r-iii/new-bloomfield-high-11789
253,North Andrew High,"Rosendale, MO","9120 Hwy 48, Rosendale, Missouri 64483",64483,(816) 567-2525,North Andrew Co. R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/north-andrew-co-r-vi/north-andrew-high-11800
254,Northeast High,"Kansas City, MO","415 S Van Brunt, Kansas City, Missouri 64124",64124,(816) 418-3300,Kansas City 33,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/northeast-high-11697
255,Oak Ridge High,"Oak Ridge, MO","4198 State Hwy E, Oak Ridge, Missouri 63769",63769,(573) 266-3630,Oak Ridge R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/oak-ridge-r-vi/oak-ridge-high-11814
256,Odessa High,"Odessa, MO","713 S Third St, Odessa, Missouri 64076",64076,(816) 633-5533,Odessa R-Vii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/odessa-r-vii/odessa-high-11815
257,Oran High,"Oran, MO","310 Church St, Oran, Missouri 63771",63771,(573) 262-3345,Oran R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/oran-r-iii/oran-high-11816
258,Orrick High,"Orrick, MO","100 Kirkham, Orrick, Missouri 64077",64077,(816) 770-3327,Orrick R-Xi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/orrick-r-xi/orrick-high-11819
259,Paseo Acad. of Performing Arts,"Kansas City, MO","4747 Flora Ave, Kansas City, Missouri 64110",64110,(816) 418-3525,Kansas City 33,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/paseo-acad-of-performing-arts-11698
260,Plato High,"Plato, MO","10645 Plato Dr, Plato, Missouri 65552",65552,(417) 458-4980,Plato R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/plato-r-v/plato-high-11846
261,Pleasant Hill High,"Pleasant Hill, MO","1 Rooster Way, Pleasant Hill, Missouri 64080",64080,(816) 540-3111,Pleasant Hill R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/pleasant-hill-r-iii/pleasant-hill-high-11849
262,Pleasant Hope High,"Pleasant Hope, MO","303 N Main, Pleasant Hope, Missouri 65725",65725,(417) 267-2271,Pleasant Hope R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/pleasant-hope-r-vi/pleasant-hope-high-11850
263,Puxico High,"Puxico, MO","481 N Bedford St, Puxico, Missouri 63960",63960,(573) 222-3175,Puxico R-Viii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/puxico-r-viii/puxico-high-11859
264,Rich Hill High,"Rich Hill, MO","703 N Third, Rich Hill, Missouri 64779",64779,(417) 395-4191,Rich Hill R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/rich-hill-r-iv/rich-hill-high-11865
265,Ritenour Sr. High,"St Louis, MO","9100 St Charles Rock Rd, St Louis, Missouri 63114",63114,(314) 493-6105,Ritenour,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/ritenour/ritenour-sr-high-11871
266,Rock Port High,"Rock Port, MO","600 S Nebraska St, Rock Port, Missouri 64482",64482,(660) 744-6296,Rock Port R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/rock-port-r-ii/rock-port-high-11879
267,Russellville High,"Russellville, MO","13600 Rte C, Russellville, Missouri 65074",65074,(573) 782-3973,Cole Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cole-co-r-i/russellville-high-11886
268,Schuyler Co. High,"Queen City, MO","21701 Highway 63, Queen City, Missouri 63561",63561,(660) 766-2424,Schuyler Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/schuyler-co-r-i/schuyler-co-high-11897
269,Seneca High,"Seneca, MO","1110 Neosho St, Seneca, Missouri 64865",64865,(417) 776-3926,Seneca R-Vii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/seneca-r-vii/seneca-high-11901
270,Senior High,"Carrollton, MO","300 E Ninth St, Carrollton, Missouri 64633",64633,(660) 542-1276,Carrollton R-Vii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/carrollton-r-vii/senior-high-11549
271,Seymour High,"Seymour, MO","625 E Clinton Ave, Seymour, Missouri 65746",65746,(417) 935-4508,Seymour R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/seymour-r-ii/seymour-high-11902
272,Slater High,"Slater, MO","515 N Elm, Slater, Missouri 65349",65349,(660) 529-2278,Slater,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/slater/slater-high-11908
273,Soldan International Studies,"St Louis, MO","918 N Union Blvd, St Louis, Missouri 63108",63108,(314) 367-9222,St. Louis Public Schools,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/soldan-international-studies-11937
274,Sparta High,"Sparta, MO","8520 State Hwy14e, Sparta, Missouri 65753",65753,(417) 634-3224,Sparta R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/sparta-r-iii/sparta-high-11920
275,St. James High,"St James, MO","101 E Scioto, St James, Missouri 65559",65559,(573) 265-2300,St. James R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/st-james-r-i/st-james-high-11935
276,Steelville High,"Steelville, MO","17154 Highway 19, Steelville, Missouri 65565",65565,(573) 775-2144,Steelville R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/steelville-r-iii/steelville-high-11954
277,Stewartsville High,"Stewartsville, MO","902 Buchanan St, Stewartsville, Missouri 64490",64490,(816) 669-3258,Stewartsville C-2,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/stewartsville-c-2/stewartsville-high-11956
278,Sturgeon High,"Sturgeon, MO","210 W Patton St, Sturgeon, Missouri 65284",65284,(573) 687-3512,Sturgeon R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/sturgeon-r-v/sturgeon-high-11961
279,Sweet Springs High,"Sweet Springs, MO","600 E. Marshall St., Sweet Springs, Missouri 65351",65351,(660) 335-6341,Sweet Springs R-Vii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/sweet-springs-r-vii/sweet-springs-high-11964
280,Thomas W. Kelly High,"Benton, MO","4035 State Hwy 77, Benton, Missouri 63736",63736,(573) 545-3541,Scott Co. R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/scott-co-r-iv/thomas-w-kelly-high-11507
281,Troy Buchanan High,"Troy, MO","1190 Old Cap-au-gris, Troy, Missouri 63379",63379,(636) 462-5148,Troy R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/troy-r-iii/troy-buchanan-high-11972
282,University City Sr. High,"University City, MO","7401 Balson Ave, University City, Missouri 63130",63130,(314) 290-4100,University City,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/university-city/university-city-sr-high-11978
283,Valley High,"Caledonia, MO","1 Viking Dr, Caledonia, Missouri 63631",63631,(573) 779-3515,Valley R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/valley-r-vi/valley-high-11980
284,Wellsville High,"Wellsville, MO","900 Burlington Rd, Wellsville, Missouri 63384",63384,(573) 684-2017,Wellsville Middletown R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/wellsville-middletown-r-i/wellsville-high-11999
285,Willard High,"Willard, MO","515 E Jackson St, Willard, Missouri 65781",65781,(417) 742-3524,Willard R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/willard-r-ii/willard-high-12009
286,Willow Springs High,"Willow Springs, MO","215 W Fourth St, Willow Springs, Missouri 65793",65793,(417) 469-2114,Willow Springs R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/willow-springs-r-iv/willow-springs-high-12010
287,Winfield High,"Winfield, MO","701 Elm St, Winfield, Missouri 63389",63389,(636) 668-8130,Winfield R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/winfield-r-iv/winfield-high-12013
288,Winston High,"Winston, MO","200 W Third, Winston, Missouri 64689",64689,(660) 749-5456,Winston R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/winston-r-vi/winston-high-12015
289,Woodland High,"Marble Hill, MO","Rte 5 Box 3210, Marble Hill, Missouri 63764",63764,(573) 238-2663,Woodland R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/woodland-r-iv/woodland-high-11745
290,Zalma High,"Zalma, MO","Hc 02 Box 184, Zalma, Missouri 63787",63787,(573) 722-3320,Zalma R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/zalma-r-v/zalma-high-12018
