,school_name,school_distrct,MO_raniking,national_ranking,city,state,zipcode,full_address,phone_number,school_page_link_usn
0,Lafayette Sr. High,Rockwood R-Vi,1,431,Wildwood,MO,63011,"17050 Clayton Rd, Wildwood, Missouri 63011",(636) 733-4100,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/lafayette-sr-high-11883
1,Smithville High,Smithville R-II,2,531,Smithville,MO,64089,"645 S Commercial Ave, Smithville, Missouri 64089",(816) 532-0405,https://www.usnews.com//education/best-high-schools/missouri/districts/smithville-r-ii/smithville-high-11910
2,Rockwood Summit Sr. High,Rockwood R-Vi,3,621,Fenton,MO,63026,"1780 Hawkins Rd, Fenton, Missouri 63026",(636) 891-6800,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/rockwood-summit-sr-high-11881
3,Eureka Sr. High,Rockwood R-Vi,4,681,Eureka,MO,63025,"4525 Hwy 109, Eureka, Missouri 63025",(636) 733-3100,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/eureka-sr-high-11882
4,Metro Academic and Classical High School,St. Louis Public Schools,5,799,St Louis,MO,63108,"4015 Mcpherson Ave, St Louis, Missouri 63108",(314) 534-3894,https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/metro-academic-and-classical-high-school-11941
5,West High,Parkway C-2,6,823,Ballwin,MO,63011,"14653 Clayton Rd, Ballwin, Missouri 63011",(314) 415-7500,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/west-high-11835
6,Lindbergh Sr. High,Lindbergh Schools,7,940,St. Louis,MO,63126,"5000 S. Lindbergh, St. Louis, Missouri 63126",(314) 729-2410,https://www.usnews.com//education/best-high-schools/missouri/districts/lindbergh-schools/lindbergh-sr-high-11739
7,Marquette Sr. High,Rockwood R-Vi,8,947,Chesterfield,MO,63017,"2351 Clarkson Rd, Chesterfield, Missouri 63017",(636) 891-6000,https://www.usnews.com//education/best-high-schools/missouri/districts/rockwood-r-vi/marquette-sr-high-11880
8,Affton High,Affton 101,9,977,St Louis,MO,63123,"8309 Mackenzie Rd, St Louis, Missouri 63123",(314) 638-6330,https://www.usnews.com//education/best-high-schools/missouri/districts/affton-101/affton-high-11490
9,Ft. Zumwalt West High,Ft. Zumwalt R-II,10,"1,196",O'fallon,MO,63366,"1251 Turtle Creek Dr, O'fallon, Missouri 63366",(636) 379-0300,https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-west-high-11558
10,Liberty High School,Wentzville R-Iv,11,"1,205",Lake St. Louis,MO,63367,"2275 Sommers Road, Lake St. Louis, Missouri 63367",(636) 561-0075,https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/liberty-high-school-147498
11,St. Louis Med/Bio Science High,St. Louis Public Schools,12,"1,241",St. Louis,MO,63104,"1547 S. Theresa Av, St. Louis, Missouri 63104",(314) 696-2290,https://www.usnews.com//education/best-high-schools/missouri/districts/st-louis-public-schools/st-louis-med-bio-science-high-147497
12,Central High,Parkway C-2,13,"1,384",Chesterfield,MO,63017,"369 N Woods Mill Rd, Chesterfield, Missouri 63017",(314) 415-7900,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/central-high-11832
13,Knob Noster High,Knob Noster R-Viii,14,"1,649",Knob Noster,MO,65336,"504 S Washington, Knob Noster, Missouri 65336",(660) 563-2283,https://www.usnews.com//education/best-high-schools/missouri/districts/knob-noster-r-viii/knob-noster-high-11714
14,Clayton High,Clayton,15,"1,826",Clayton,MO,63105,"#1 Mark Twain Circle, Clayton, Missouri 63105",(314) 854-6600,https://www.usnews.com//education/best-high-schools/missouri/districts/clayton/clayton-high-11569
15,Maplewood-Richmond Hgts. High,Maplewood-Richmond Heights,16,"1,837",Maplewood,MO,63143,"7539 Manchester Rd, Maplewood, Missouri 63143",(314) 644-4401,https://www.usnews.com//education/best-high-schools/missouri/districts/maplewood-richmond-heights/maplewood-richmond-hgts-high-11752
16,Parkway South High School,Parkway C-2,17,"1,867",Manchester,MO,63021,"801 Hanna Rd, Manchester, Missouri 63021",(314) 415-7700,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/parkway-south-high-school-11834
17,St. Charles West High,St. Charles R-Vi,18,"1,906",St Charles,MO,63301,"3601 Droste Rd, St Charles, Missouri 63301",(636) 443-4200,https://www.usnews.com//education/best-high-schools/missouri/districts/st-charles-r-vi/st-charles-west-high-11928
18,Lincoln College Prep.,Kansas City 33,19,"1,923",Kansas City,MO,64108,"2111 Woodland, Kansas City, Missouri 64108",(816) 418-3000,https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/lincoln-college-prep-11696
19,Webster Groves High,Webster Groves,20,"1,927",St Louis,MO,63119,"100 Selma Ave, St Louis, Missouri 63119",(314) 963-6400,https://www.usnews.com//education/best-high-schools/missouri/districts/webster-groves/webster-groves-high-11996
20,Ft. Zumwalt East High,Ft. Zumwalt R-II,21,"1,987",St Peters,MO,63376,"600 1st Executive Ave, St Peters, Missouri 63376",(636) 477-2400,https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-east-high-11560
21,Truman High,Independence 30,22,"2,018",Independence,MO,64055,"3301 S Noland Rd, Independence, Missouri 64055",(816) 521-5350,https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/truman-high-11677
22,Ft. Zumwalt South High,Ft. Zumwalt R-II,23,"2,115",St Peters,MO,63376,"8050 Mexico Rd, St Peters, Missouri 63376",(636) 978-1212,https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-south-high-11557
23,Blue Springs High,Blue Springs R-Iv,24,"2,155",Blue Springs,MO,64015,"2000 Nw Ashton Dr, Blue Springs, Missouri 64015",(816) 874-3400,https://www.usnews.com//education/best-high-schools/missouri/districts/blue-springs-r-iv/blue-springs-high-11514
24,Ft. Zumwalt North High,Ft. Zumwalt R-II,25,"2,157",O'fallon,MO,63366,"1230 Tom Ginnever Blvd, O'fallon, Missouri 63366",(636) 272-4447,https://www.usnews.com//education/best-high-schools/missouri/districts/ft-zumwalt-r-ii/ft-zumwalt-north-high-11556
25,Fort Osage High,Fort Osage R-I,26,"2,216",Independence,MO,64058,"2101 N Twyman Rd, Independence, Missouri 64058",(816) 650-7063,https://www.usnews.com//education/best-high-schools/missouri/districts/fort-osage-r-i/fort-osage-high-11622
26,Francis Howell High,Francis Howell R-III,27,"2,248",St Charles,MO,63304,"7001 Hwy 94 South, St Charles, Missouri 63304",(636) 851-4700,https://www.usnews.com//education/best-high-schools/missouri/districts/francis-howell-r-iii/francis-howell-high-11929
27,Blue Springs South High,Blue Springs R-Iv,28,"2,275",Blue Springs,MO,64014,"1200 Se Adams Dairy Pkwy, Blue Springs, Missouri 64014",(816) 874-3500,https://www.usnews.com//education/best-high-schools/missouri/districts/blue-springs-r-iv/blue-springs-south-high-11515
28,Excelsior Springs High,Excelsior Springs 40,29,"2,438",Excelsior Springs,MO,64024,"612 Tiger Dr, Excelsior Springs, Missouri 64024",(816) 630-9210,https://www.usnews.com//education/best-high-schools/missouri/districts/excelsior-springs-40/excelsior-springs-high-11608
29,Smith-Cotton High School,Sedalia 200,30,"2,481",Sedalia,MO,65301,"2010 Tiger Pride Boulevard, Sedalia, Missouri 65301",(660) 851-5300,https://www.usnews.com//education/best-high-schools/missouri/districts/sedalia-200/smith-cotton-high-school-11898
30,Central High,Springfield R-Xii,31,"2,495",Springfield,MO,65802,"423 E Central, Springfield, Missouri 65802",(417) 523-9600,https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/central-high-11922
31,Rock Bridge Sr. High,Columbia 93,32,"2,532",Columbia,MO,65203,"4303 S Providence Rd, Columbia, Missouri 65203",(573) 214-3100,https://www.usnews.com//education/best-high-schools/missouri/districts/columbia-93/rock-bridge-sr-high-11482
32,Oakville Sr. High,Mehlville R-Ix,33,"2,621",St Louis,MO,63129,"5557 Milburn Rd, St Louis, Missouri 63129",(314) 467-7000,https://www.usnews.com//education/best-high-schools/missouri/districts/mehlville-r-ix/oakville-sr-high-11765
33,Caruthersville High,Caruthersville 18,34,"2,680",Caruthersville,MO,63830,"1708 Ward Ave, Caruthersville, Missouri 63830",(573) 333-6110,https://www.usnews.com//education/best-high-schools/missouri/districts/caruthersville-18/caruthersville-high-11551
34,Kirkwood Sr. High,Kirkwood R-Vii,35,"2,736",Kirkwood,MO,63122,"801 W Essex Ave, Kirkwood, Missouri 63122",(314) 213-6110,https://www.usnews.com//education/best-high-schools/missouri/districts/kirkwood-r-vii/kirkwood-sr-high-11713
35,Pattonville Sr. High,Pattonville R-III,36,"2,783",Maryland Heights,MO,63043,"2497 Creve Coeur Mill Rd, Maryland Heights, Missouri 63043",(314) 213-8051,https://www.usnews.com//education/best-high-schools/missouri/districts/pattonville-r-iii/pattonville-sr-high-11838
36,Timberland High,Wentzville R-Iv,37,"3,140",Wentzville,MO,63385,"559 E Hwy N, Wentzville, Missouri 63385",(636) 327-3988,https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/timberland-high-12001
37,Grain Valley High,Grain Valley R-V,38,"3,173",Grain Valley,MO,64029,"551 Sw Eagles Pkwy, Grain Valley, Missouri 64029",(816) 847-5000,https://www.usnews.com//education/best-high-schools/missouri/districts/grain-valley-r-v/grain-valley-high-11636
38,Park Hill High,Park Hill,39,"3,177",Kansas City,MO,64153,"7701 Nw Barry Rd, Kansas City, Missouri 64153",(816) 359-4110,https://www.usnews.com//education/best-high-schools/missouri/districts/park-hill/park-hill-high-11829
39,Lee's Summit North High,Lee's Summit R-Vii,40,"3,207",Lee's Summit,MO,64086,"901 Ne Douglas St, Lee's Summit, Missouri 64086",(816) 986-3000,https://www.usnews.com//education/best-high-schools/missouri/districts/lees-summit-r-vii/lee-s-summit-north-high-11726
40,Lee's Summit Sr. High,Lee's Summit R-Vii,41,"3,315",Lee's Summit,MO,64063,"400 Se Blue Pkwy, Lee's Summit, Missouri 64063",(816) 986-2000,https://www.usnews.com//education/best-high-schools/missouri/districts/lees-summit-r-vii/lee-s-summit-sr-high-11725
41,Liberty High,Liberty 53,42,"3,332",Liberty,MO,64068,"200 Bluejay Dr, Liberty, Missouri 64068",(816) 736-5340,https://www.usnews.com//education/best-high-schools/missouri/districts/liberty-53/liberty-high-11735
42,Kirksville Sr. High,Kirksville R-III,43,"3,359",Kirksville,MO,63501,"1300 S Cottage Grove, Kirksville, Missouri 63501",(660) 665-4631,https://www.usnews.com//education/best-high-schools/missouri/districts/kirksville-r-iii/kirksville-sr-high-11712
43,Liberty North High School,Liberty 53,44,"3,465",Liberty,MO,64068,"1000 N.e. 104th Street, Liberty, Missouri 64068",(816) 736-5500,https://www.usnews.com//education/best-high-schools/missouri/districts/liberty-53/liberty-north-high-school-92070
44,North High,Parkway C-2,45,"3,471",St Louis,MO,63146,"12860 Fee Fee Rd, St Louis, Missouri 63146",(314) 415-7600,https://www.usnews.com//education/best-high-schools/missouri/districts/parkway-c-2/north-high-11833
45,North Kansas City High,North Kansas City 74,46,"3,572",Kansas City,MO,64116,"620 E 23rd Ave, Kansas City, Missouri 64116",(816) 321-5310,https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/north-kansas-city-high-11803
46,Central High,St. Joseph,47,"3,645",St Joseph,MO,64501,"2602 Edmond, St Joseph, Missouri 64501",(816) 671-4080,https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/central-high-11888
47,Kearney High,Kearney R-I,48,"3,802",Kearney,MO,64060,"715 E 19th St, Kearney, Missouri 64060",(816) 628-4585,https://www.usnews.com//education/best-high-schools/missouri/districts/kearney-r-i/kearney-high-11706
48,Emil E. Holt Sr. High,Wentzville R-Iv,49,"3,848",Wentzville,MO,63385,"600 Campus Dr, Wentzville, Missouri 63385",(636) 327-3876,https://www.usnews.com//education/best-high-schools/missouri/districts/wentzville-r-iv/emil-e-holt-sr-high-12000
49,Platte County High,Platte Co. R-III,50,"3,879",Platte City,MO,64079,"1501 Branch St, Platte City, Missouri 64079",(816) 858-2822,https://www.usnews.com//education/best-high-schools/missouri/districts/platte-co-r-iii/platte-county-high-11847
50,Ozark High,Ozark R-Vi,51,"3,951",Ozark,MO,65721,"1350 W Bluff Dr, Ozark, Missouri 65721",(417) 582-5901,https://www.usnews.com//education/best-high-schools/missouri/districts/ozark-r-vi/ozark-high-11825
51,Northwest High,Northwest R-I,52,"3,954",Cedar Hill,MO,63016,"6005 Cedar Hill Rd, Cedar Hill, Missouri 63016",(636) 274-0555,https://www.usnews.com//education/best-high-schools/missouri/districts/northwest-r-i/northwest-high-11809
52,Oak Park High,North Kansas City 74,53,"4,177",Kansas City,MO,64118,"825 Ne 79th Terr, Kansas City, Missouri 64118",(816) 321-5320,https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/oak-park-high-11804
53,Francis Howell North High,Francis Howell R-III,54,"4,251",St Charles,MO,63303,"2549 Hackmann Rd, St Charles, Missouri 63303",(636) 851-4900,https://www.usnews.com//education/best-high-schools/missouri/districts/francis-howell-r-iii/francis-howell-north-high-11931
54,David H. Hickman High,Columbia 93,55,"4,360",Columbia,MO,65203,"1104 N Providence Rd, Columbia, Missouri 65203",(573) 214-3000,https://www.usnews.com//education/best-high-schools/missouri/districts/columbia-93/david-h-hickman-high-11483
55,Central High,Cape Girardeau 63,56,"4,410",Cape Girardeau,MO,63703,"1000 S Silver Springs Rd, Cape Girardeau, Missouri 63703",(573) 335-8228,https://www.usnews.com//education/best-high-schools/missouri/districts/cape-girardeau-63/central-high-11547
56,Gateway Science Academy High,Gateway Science Acad/St Louis,57,"4,591",St. Louis,MO,63139,"5049 Fyler Avenue, St. Louis, Missouri 63139",(314) 261-4361,https://www.usnews.com//education/best-high-schools/missouri/districts/gateway-science-acadst-louis/gateway-science-academy-high-154670
57,Waynesville Sr. High,Waynesville R-Vi,58,"4,709",Waynesville,MO,65583,"200 G W Ln, Waynesville, Missouri 65583",(573) 842-2400,https://www.usnews.com//education/best-high-schools/missouri/districts/waynesville-r-vi/waynesville-sr-high-11993
58,West Platte High,West Platte Co. R-II,59,"4,735",Weston,MO,64098,"935 Washington St, Weston, Missouri 64098",(816) 640-2292,https://www.usnews.com//education/best-high-schools/missouri/districts/west-platte-co-r-ii/west-platte-high-12003
59,Park Hill South High,Park Hill,60,"4,857",Riverside,MO,64150,"4500 Nw River Park Dr, Riverside, Missouri 64150",(816) 359-4120,https://www.usnews.com//education/best-high-schools/missouri/districts/park-hill/park-hill-south-high-11830
60,Fordland High,Fordland R-III,61,"4,875",Fordland,MO,65652,"1248 School St, Fordland, Missouri 65652",(417) 767-4555,https://www.usnews.com//education/best-high-schools/missouri/districts/fordland-r-iii/fordland-high-11620
61,Scotland Co. High,Scotland Co. R-I,62,"4,922",Memphis,MO,63555,"606 West Lovers Lane, Memphis, Missouri 63555",(660) 465-8901,https://www.usnews.com//education/best-high-schools/missouri/districts/scotland-co-r-i/scotland-co-high-11766
62,Winnetonka High,North Kansas City 74,63,"5,025",Kansas City,MO,64119,"5815 Ne 48th St, Kansas City, Missouri 64119",(816) 321-5340,https://www.usnews.com//education/best-high-schools/missouri/districts/north-kansas-city-74/winnetonka-high-11805
63,William Chrisman High,Independence 30,64,"5,084",Independence,MO,64050,"1223 N Noland Rd, Independence, Missouri 64050",(816) 521-5355,https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/william-chrisman-high-11678
64,Van Horn High,Independence 30,65,"5,234",Independnce,MO,64053,"1109 S Arlington Ave, Independnce, Missouri 64053",(816) 521-5360,https://www.usnews.com//education/best-high-schools/missouri/districts/independence-30/van-horn-high-11681
65,Frontier STEM High School,Frontier School Of Innovation,66,"5,250",Kansas City,MO,64120,"6455 E Commerce Ave., Kansas City, Missouri 64120",(816) 241-6202,https://www.usnews.com//education/best-high-schools/missouri/districts/frontier-school-of-innovation/frontier-stem-high-school-147495
66,Aurora High,Aurora R-Viii,67,"5,286",Aurora,MO,65605,"305 W Prospect St, Aurora, Missouri 65605",(417) 678-3355,https://www.usnews.com//education/best-high-schools/missouri/districts/aurora-r-viii/aurora-high-11499
67,Center Sr. High,Center 58,68,"5,368",Kansas City,MO,64131,"8715 Holmes, Kansas City, Missouri 64131",(816) 349-3330,https://www.usnews.com//education/best-high-schools/missouri/districts/center-58/center-sr-high-11553
68,St. Charles High,St. Charles R-Vi,69,"5,427",St Charles,MO,63301,"725 N Kingshighway St, St Charles, Missouri 63301",(636) 443-4100,https://www.usnews.com//education/best-high-schools/missouri/districts/st-charles-r-vi/st-charles-high-11927
69,Boonville High,Boonville R-I,70,"5,471",Boonville,MO,65233,"1 Pirate Drive, Boonville, Missouri 65233",(660) 882-7426,https://www.usnews.com//education/best-high-schools/missouri/districts/boonville-r-i/boonville-high-11519
70,Cuba High,Crawford Co. R-II,71,"5,476",Cuba,MO,65453,"1 Wildcat Pride Dr, Cuba, Missouri 65453",(573) 885-2534,https://www.usnews.com//education/best-high-schools/missouri/districts/crawford-co-r-ii/cuba-high-11586
71,Maryville High,Maryville R-II,72,"5,512",Maryville,MO,64468,"1503 S Munn Ave, Maryville, Missouri 64468",(660) 562-3511,https://www.usnews.com//education/best-high-schools/missouri/districts/maryville-r-ii/maryville-high-11760
72,Belton High,Belton 124,73,"5,581",Belton,MO,64012,"801 W. North Avenue, Belton, Missouri 64012",(816) 489-7500,https://www.usnews.com//education/best-high-schools/missouri/districts/belton-124/belton-high-11505
73,Neosho High,Neosho R-V,74,"5,674",Neosho,MO,64850,"511 Neosho Blvd, Neosho, Missouri 64850",(417) 451-8670,https://www.usnews.com//education/best-high-schools/missouri/districts/neosho-r-v/neosho-high-11786
74,Jackson Sr. High,Jackson R-II,75,"5,797",Jackson,MO,63755,"315 S Missouri, Jackson, Missouri 63755",(573) 243-9513,https://www.usnews.com//education/best-high-schools/missouri/districts/jackson-r-ii/jackson-sr-high-11684
75,Washington High,Washington,76,"6,114",Washington,MO,63090,"600 Blue Jay Dr, Washington, Missouri 63090",(636) 231-2200,https://www.usnews.com//education/best-high-schools/missouri/districts/washington/washington-high-11991
76,Raymore-Peculiar Sr. High,Raymore-Peculiar R-II,77,"6,200",Peculiar,MO,64078,"20801 School Rd, Peculiar, Missouri 64078",(816) 892-1400,https://www.usnews.com//education/best-high-schools/missouri/districts/raymore-peculiar-r-ii/raymore-peculiar-sr-high-11839
77,Palmyra High,Palmyra R-I,78,"6,211",Palmyra,MO,63461,"1703 S Main St, Palmyra, Missouri 63461",(573) 769-2067,https://www.usnews.com//education/best-high-schools/missouri/districts/palmyra-r-i/palmyra-high-11827
78,Osage High,School Of The Osage,79,"6,213",Osage Beach,MO,65065,"636 Hwy 42, Osage Beach, Missouri 65065",(573) 348-0115,https://www.usnews.com//education/best-high-schools/missouri/districts/school-of-the-osage/osage-high-11896
79,Mehlville High School,Mehlville R-Ix,80,"6,257",St Louis,MO,63125,"3200 Lemay Ferry Rd, St Louis, Missouri 63125",(314) 467-6000,https://www.usnews.com//education/best-high-schools/missouri/districts/mehlville-r-ix/mehlville-high-school-11764
80,Poplar Bluff High,Poplar Bluff R-I,81,"6,292",Poplar Bluff,MO,63901,"3209 Oak Grove Road, Poplar Bluff, Missouri 63901",(573) 785-6471,https://www.usnews.com//education/best-high-schools/missouri/districts/poplar-bluff-r-i/poplar-bluff-high-11853
81,Branson High,Branson R-Iv,82,"6,378",Branson,MO,65616,"935 Buchanan Rd, Branson, Missouri 65616",(417) 334-6511,https://www.usnews.com//education/best-high-schools/missouri/districts/branson-r-iv/branson-high-11525
82,Bolivar High,Bolivar R-I,83,"6,430",Bolivar,MO,65613,"1401 N Hwy D, Bolivar, Missouri 65613",(417) 326-5228,https://www.usnews.com//education/best-high-schools/missouri/districts/bolivar-r-i/bolivar-high-11517
83,Hancock Sr. High,Hancock Place,84,"6,533",St Louis,MO,63125,"229 W Ripa Ave, St Louis, Missouri 63125",(314) 544-1200,https://www.usnews.com//education/best-high-schools/missouri/districts/hancock-place/hancock-sr-high-11647
84,Fox Sr. High,Fox C-6,85,"6,591",Arnold,MO,63010,"751 Jeffco Blvd, Arnold, Missouri 63010",(636) 296-5210,https://www.usnews.com//education/best-high-schools/missouri/districts/fox-c-6/fox-sr-high-11624
85,University Academy-Upper,University Academy,86,"6,795",Kansas City,MO,64131,"6801 Holmes Rd, Kansas City, Missouri 64131",(816) 412-5902,https://www.usnews.com//education/best-high-schools/missouri/districts/university-academy/university-academy-upper-11472
86,Thayer Sr. High,Thayer R-II,87,"7,092",Thayer,MO,65791,"401 E Walnut St, Thayer, Missouri 65791",(417) 264-4600,https://www.usnews.com//education/best-high-schools/missouri/districts/thayer-r-ii/thayer-sr-high-11966
87,Lafayette High,St. Joseph,88,"7,206",St Joseph,MO,64505,"412 Highland Ave, St Joseph, Missouri 64505",(816) 671-4220,https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/lafayette-high-11889
88,Savannah High,Savannah R-III,89,"7,398",Savannah,MO,64485,"701 State Rte E, Savannah, Missouri 64485",(816) 324-3128,https://www.usnews.com//education/best-high-schools/missouri/districts/savannah-r-iii/savannah-high-11894
89,Warrenton High,Warren Co. R-III,90,"7,414",Warrenton,MO,63383,"803 Pinckney, Warrenton, Missouri 63383",(636) 456-6902,https://www.usnews.com//education/best-high-schools/missouri/districts/warren-co-r-iii/warrenton-high-11989
90,Sherwood High,Sherwood Cass R-Viii,91,"7,470",Creighton,MO,64739,"33300 S Sherwood Dr, Creighton, Missouri 64739",(660) 499-2239,https://www.usnews.com//education/best-high-schools/missouri/districts/sherwood-cass-r-viii/sherwood-high-11583
91,Republic High,Republic R-III,92,"7,485",Republic,MO,65738,"4370 S. Repmo Drive, Republic, Missouri 65738",(417) 732-3650,https://www.usnews.com//education/best-high-schools/missouri/districts/republic-r-iii/republic-high-11864
92,Monett High,Monett R-I,93,"7,538",Monett,MO,65708,"One David Sippy Dr, Monett, Missouri 65708",(417) 235-5445,https://www.usnews.com//education/best-high-schools/missouri/districts/monett-r-i/monett-high-11773
93,South Pemiscot High,South Pemiscot Co. R-V,94,"7,630",Steele,MO,63877,"611 Beasley Rd, Steele, Missouri 63877",(573) 695-3342,https://www.usnews.com//education/best-high-schools/missouri/districts/south-pemiscot-co-r-v/south-pemiscot-high-11914
94,Bayless Sr. High,Bayless,95,"7,642",St Louis,MO,63123,"4532 Weber Rd, St Louis, Missouri 63123",(314) 256-8660,https://www.usnews.com//education/best-high-schools/missouri/districts/bayless/bayless-sr-high-11503
95,Milan High,Milan C-2,96,"7,655",Milan,MO,63556,"373 S Market St, Milan, Missouri 63556",(660) 265-1412,https://www.usnews.com//education/best-high-schools/missouri/districts/milan-c-2/milan-high-11770
96,Seckman Sr. High,Fox C-6,97,"7,718",Imperial,MO,63052,"2800 Seckman Rd, Imperial, Missouri 63052",(636) 282-1485,https://www.usnews.com//education/best-high-schools/missouri/districts/fox-c-6/seckman-sr-high-11625
